id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
11218,130316,17770000.0,New Cairo,,17777000.0,2024-01-10 00:00:00,2024-01-10 20:21:00,2024-02-08 00:00:00,21,2.0,345.0,Primary,8.0,Apartment
776,32565,648000.0,New Capital City,,,2021-04-11 00:00:00,,,8,9.0,464.0,,,Office
3016,20428,8912000.0,6th October,,8912000.0,2022-09-04 00:00:00,2022-09-05 00:00:00,2022-10-23 00:00:00,1,1.0,402.0,Primary,,Villa
9305,312091,3658000.0,Mostakbal City,,3658000.0,2023-10-12 00:00:00,,2023-10-12 00:00:00,13,10.0,908.0,Developer Commercial Sale,10.0,Clinic
11885,173993,,New Cairo,10000000.0,,,,,21,2.0,1116.0,,,Apartment
11886,295030,,6th of October City,11000000.0,,,,,8,1.0,1130.0,,,Office
10137,288162,5144459.0,New Cairo,4000000.0,,2023-11-19 00:00:00,2023-11-22 12:59:00,2023-12-18 00:00:00,21,2.0,186.0,Primary,8.0,Apartment
11884,413,13133000.0,,,13133000.0,,,2024-02-08 14:24:00,21,2.0,192.0,Primary,8.0,Apartment
10739,324584,,New Cairo,9756000.0,,,,,8,2.0,1079.0,,,Office
10342,215708,6407000.0,New Cairo,,6407000.0,2023-11-27 00:00:00,2023-11-28 12:19:00,2024-01-06 00:00:00,21,2.0,345.0,Primary,8.0,Apartment
8121,251675,10530000.0,North Coast,,10530000.0,2023-08-10 00:00:00,2023-08-11 00:00:00,2023-09-02 00:00:00,5,3.0,522.0,Primary,8.0,Chalet
7097,215047,6892750.0,New Cairo,,6892750.0,2023-05-20 00:00:00,2023-05-20 00:00:00,2023-05-21 00:00:00,8,2.0,818.0,Developer Commercial Sale,6.0,Office
11478,339735,,6th of October City,5500000.0,,,,,13,1.0,401.0,,,Clinic
11154,385762,3188464.0,6th of October City,3000000.0,,2024-01-13 00:00:00,2024-01-24 09:44:00,,21,1.0,653.0,Primary,,Apartment
11889,415,6180000.0,,,6180000.0,,,2024-02-08 16:23:00,9,2.0,38.0,Primary,8.0,Studio
518,20133,6961500.0,,,,,,2019-11-30 00:00:00,21,,,,,Apartment
10070,335638,,El Sheikh Zayed,9000000.0,,,,,10,26.0,1065.0,,,Retail
11347,358497,,New Cairo,50000000.0,,,,,1,2.0,1077.0,,,Villa
11348,358497,,New Cairo,50000000.0,,,,,1,2.0,1077.0,,,Villa
11344,139847,4800000.0,Ain Sokhna,,4800000.0,2023-12-19 00:00:00,,2024-01-17 00:00:00,11,4.0,90.0,Primary,8.0,Cabin
9886,330817,5030000.0,Ain Sokhna,,5030000.0,2023-11-06 00:00:00,2023-11-07 12:09:00,2023-11-14 00:00:00,5,4.0,1028.0,Primary,8.0,Chalet
11349,358497,,New Cairo,50000000.0,,,,,1,2.0,1077.0,,,Villa
11350,358497,,New Cairo,50000000.0,,,,,1,2.0,1077.0,,,Villa
11351,358497,,New Cairo,50000000.0,,,,,1,2.0,1077.0,,,Villa
11483,398324,,Cairo,5000000.0,,,,,21,29.0,1084.0,,,Apartment
11482,398324,,Cairo,4500000.0,,,,,21,29.0,1084.0,,,Apartment
11898,392214,,6th of October City,16000000.0,,,,,21,1.0,798.0,,,Apartment
10191,335638,5057000.0,El Sheikh Zayed,9000000.0,,2023-12-14 00:00:00,2023-12-14 11:31:00,2024-01-17 00:00:00,8,26.0,1065.0,Developer Commercial Sale,5.0,Office
1445,59644,3181046.0,New Cairo,,,2021-12-12 00:00:00,,2021-12-16 00:00:00,21,2.0,209.0,Primary,,Apartment
490,8722,15200000.0,,,,2018-08-14 00:00:00,,2018-08-14 00:00:00,21,,,Primary,,Apartment
11362,385111,5738077.0,New Cairo,,5738077.0,2024-01-16 00:00:00,,2024-01-17 00:00:00,21,2.0,186.0,Primary,8.0,Apartment
3849,25987,8749914.0,New Cairo,,8749914.0,2022-12-25 00:00:00,,2022-12-25 00:00:00,21,2.0,360.0,Primary,7.0,Apartment
11908,392214,,New Cairo,6050000.0,,,,,21,2.0,38.0,,,Apartment
10063,333089,4635734.0,New Capital City,,4635734.0,2023-10-29 00:00:00,,2023-11-15 00:00:00,21,9.0,1058.0,Primary,10.0,Apartment
1685,71938,4370000.0,6th October,4500000.0,,2022-02-12 00:00:00,,,7,1.0,423.0,,,Townhouse
11678,389130,18833248.0,New Cairo,,18833248.0,2024-01-30 00:00:00,2024-01-31 14:42:00,2024-02-07 00:00:00,21,2.0,754.0,Primary,7.0,Apartment
10078,332005,19530000.0,6th of October City,,19530000.0,2023-11-16 00:00:00,2023-11-16 10:49:00,2023-12-03 00:00:00,7,1.0,798.0,Primary,8.0,Townhouse
10065,160,3075616.0,,,3075616.0,,,2023-11-15 14:37:00,21,9.0,372.0,Primary,10.0,Apartment
11175,220442,15326000.0,North Coast,20000000.0,,2024-01-16 00:00:00,2024-01-19 16:23:00,,5,3.0,530.0,Primary,,Chalet
11688,231895,,Mostakbal City,12000000.0,,,,,3,10.0,996.0,,,Duplex
2545,96835,4475000.0,Mostakbal City,,,2022-06-23 00:00:00,,2022-06-23 00:00:00,7,10.0,217.0,Primary,,Townhouse
7998,251542,3349446.0,Mostakbal City,,3349540.0,2023-08-01 00:00:00,2023-08-03 00:00:00,2023-08-20 00:00:00,21,10.0,490.0,Primary,7.0,Apartment
572,22538,1353770.0,Sila,,,2020-04-28 00:00:00,,2020-05-05 00:00:00,21,,,,,Apartment
7286,225500,7320883.0,New Cairo,,7320883.0,2023-05-29 00:00:00,2023-05-30 00:00:00,2023-06-26 00:00:00,21,2.0,754.0,Primary,7.0,Apartment
9409,325693,5710000.0,New Cairo,5700000.0,,2023-10-17 00:00:00,2023-10-17 12:42:00,2023-11-08 00:00:00,21,2.0,38.0,Primary,8.0,Apartment
520,20174,2058000.0,,,,2019-12-15 00:00:00,,2019-12-22 00:00:00,7,,,,,Townhouse
8497,286123,2346739.0,North Coast,2346739.0,,2023-09-04 00:00:00,2023-09-04 15:16:00,2023-09-13 00:00:00,5,3.0,241.0,Primary,10.0,Chalet
2710,113973,3955000.0,North Coast,,,2022-07-30 00:00:00,,2022-08-08 00:00:00,7,3.0,505.0,Primary,,Townhouse
10283,210,3374000.0,,,3374000.0,,,2023-11-25 13:52:00,21,9.0,1058.0,Primary,6.0,Apartment
5004,90202,19975000.0,El Sheikh Zayed,18000000.0,19975000.0,2023-02-20 00:00:00,2023-02-21 00:00:00,2023-02-28 00:00:00,1,26.0,877.0,Primary,8.0,Villa
11692,395583,,New Cairo,20000000.0,,,,,4,2.0,278.0,,,Penthouse
10541,81050,,New Cairo,12000000.0,,,,,7,2.0,147.0,,,Townhouse
2822,109297,5881860.0,6th October,5881860.0,,2022-08-11 00:00:00,,2022-08-12 00:00:00,7,1.0,423.0,Primary,,Townhouse
9170,316381,4875806.0,Mostakbal City,5000000.0,,2023-10-30 00:00:00,2023-10-31 14:41:00,2023-11-25 00:00:00,21,10.0,996.0,Primary,8.0,Apartment
7660,247513,19477560.0,North Coast,,19477560.0,2023-07-04 00:00:00,,2023-07-09 00:00:00,5,3.0,530.0,Primary,6.0,Chalet
